,year,skip.nr,start,finish,area,licence,GT
1,2008,1969,1.3.2008,20.4.2008,G,1002,11.96
2,2008,2728,1.3.2008,20.4.2008,G,581,12.36
3,2008,1544,10.3.2008,29.4.2008,E,606,8.46
4,2008,1650,10.3.2008,29.4.2008,E,14,11.92
5,2008,1770,10.3.2008,29.4.2008,F,1003,7.51
6,2008,1775,10.3.2008,29.4.2008,F,938,9.61
7,2008,1847,10.3.2008,29.4.2008,F,494,20.12
8,2008,2091,10.3.2008,29.4.2008,E,688,9.81
9,2008,2122,10.3.2008,29.4.2008,E,218,10.2
10,2008,2125,10.3.2008,29.4.2008,E,879,13.73
11,2008,2129,10.3.2008,29.4.2008,E,321,4.81
12,2008,2303,10.3.2008,29.4.2008,E,509,11.74
13,2008,2317,10.3.2008,29.4.2008,C,162,5.95
14,2008,2319,10.3.2008,29.4.2008,E,702,7.2
15,2008,2328,10.3.2008,29.4.2008,E,611,7.22
16,2008,2379,10.3.2008,29.4.2008,E,13,10.36
17,2008,2399,10.3.2008,29.4.2008,E,597,5.84
18,2008,2450,10.3.2008,29.4.2008,E,328,10.33
19,2008,2458,10.3.2008,29.4.2008,E,585,12.08
20,2008,2471,10.3.2008,29.4.2008,E,11,8.26
21,2008,2594,10.3.2008,29.4.2008,E,997,9.3
22,2008,2599,10.3.2008,29.4.2008,E,404,14.97
23,2008,2656,10.3.2008,29.4.2008,E,923,9.37
24,2008,6539,10.3.2008,29.4.2008,E,423,4.86
25,2008,6610,10.3.2008,29.4.2008,E,142,6.73
26,2008,6754,10.3.2008,29.4.2008,E,500,5.75
27,2008,6911,10.3.2008,29.4.2008,E,599,5.78
28,2008,7076,10.3.2008,29.4.2008,E,643,4.86
29,2008,7418,10.3.2008,29.4.2008,E,228,5.94
30,2008,7480,10.3.2008,29.4.2008,F,539,5.99
31,2008,2390,11.3.2008,30.4.2008,E,15,15.47
32,2008,6830,11.3.2008,30.4.2008,E,694,9.21
33,2008,1790,15.3.2008,4.5.2008,E,723,10.96
34,2008,2326,15.3.2008,4.5.2008,E,653,10.31
35,2008,6598,15.3.2008,4.5.2008,E,633,4.8
36,2008,7049,15.3.2008,4.5.2008,E,219,9.57
37,2008,7344,15.3.2008,4.5.2008,E,497,6
38,2008,2421,16.3.2008,5.5.2008,E,654,8.21
39,2008,2459,16.3.2008,5.5.2008,E,12,18.32
40,2008,2373,18.3.2008,7.5.2008,F,685,8.56
41,2008,7389,18.3.2008,7.5.2008,E,862,5.91
42,2008,6935,19.3.2008,8.5.2008,F,547,6.34
43,2008,7161,19.3.2008,8.5.2008,F,626,8.96
44,2008,1642,20.3.2008,9.5.2008,A,490,18.89
45,2008,1792,20.3.2008,9.5.2008,E,733,4.78
46,2008,2668,20.3.2008,9.5.2008,E,300,9.18
47,2008,7005,20.3.2008,9.5.2008,A,978,3.02
48,2008,1734,22.3.2008,11.5.2008,E,520,8.56
49,2008,1774,22.3.2008,11.5.2008,E,302,14.88
50,2008,1859,22.3.2008,11.5.2008,D,623,18.32
51,2008,2104,22.3.2008,11.5.2008,E,380,5.79
52,2008,2661,22.3.2008,11.5.2008,E,872,14.88
53,2008,6077,22.3.2008,11.5.2008,E,97,4.11
54,2008,6395,22.3.2008,11.5.2008,D,9,6.91
55,2008,7411,22.3.2008,11.5.2008,F,950,5.98
56,2008,1991,24.3.2008,13.5.2008,D,54,5.72
57,2008,6982,24.3.2008,13.5.2008,A,339,9.16
58,2008,9908,24.3.2008,13.5.2008,A,168,
59,2008,1779,25.3.2008,14.5.2008,A,470,10.96
60,2008,1906,25.3.2008,14.5.2008,E,948,10.42
61,2008,1986,25.3.2008,14.5.2008,A,152,21.56
